,Strategy Return,SPY Buy&Hold,DJIA Buy&Hold,Russell 2000 Buy&Hold,FTSE Buy&Hold,DAX Buy&Hold,NASDAQ Buy&Hold
2019-10-02,-0.00535959127612462,-0.017823047219804877,-0.01878134410543275,-0.009283463950587212,-0.03284187885377854,-0.027996285219488826,-0.0157299949016938
2019-10-04,0.07590677033233018,-0.004621406148250129,-0.004922891355264136,0.00023553829217282107,-0.02226849835080069,-0.020885549537616233,-0.0020459287835422613
2019-10-07,0.11162893368041393,-0.008925139146734873,-0.00851297711983423,-0.00170583781934186,-0.016478371923269397,-0.014012692005901384,-0.005324306284190228
2019-10-08,0.1851246493028944,-0.024432292206971296,-0.020340449682329287,-0.01863808984693871,-0.02398108865180637,-0.024437302462225308,-0.022029913850627025
2019-10-09,0.13648033158704354,-0.015211682083088873,-0.013550509287729828,-0.014077111688687971,-0.020802675436653706,-0.014378571746899493,-0.012085612258135314
2019-10-10,0.20131530377442997,-0.00857327571541111,-0.007925547117679455,-0.010153111651250879,-0.018087413189631807,-0.008695195529339617,-0.006223412038713683
2019-10-11,0.2725978794409256,0.0016518746582445676,0.0039809914249531175,0.00737707366966478,-0.009828482620591106,0.01922293534970665,0.006970202679256632
2019-10-14,0.36870174271153244,0.0005354940117283657,0.0028860408352298084,0.003056889948199082,-0.014429940282082665,0.01717693700367695,0.0059210556427513605
2019-10-15,0.35002652083754704,0.01039248320144659,0.011736390516925654,0.014893421510825178,-0.014689555378621821,0.028778329013208426,0.018349476202647486
2019-10-16,0.4727107630465799,0.008768567910992564,0.010881698031528497,0.01606534508183355,-0.020664653846744763,0.03205744855099679,0.015279350051035534
2019-10-17,0.43313421749955805,0.01173895489347987,0.011776068766949033,0.027183837513661047,-0.01871287458087878,0.03082182236017461,0.01935392530941127
2019-10-18,0.37302979897148725,0.0073008864883550295,0.002158471621186875,0.02293801090126446,-0.023053456782753057,0.02908121996867008,0.010907351707700741
2019-10-21,0.37283156736220624,0.014106527743444897,0.00430652139715848,0.03415510018905099,-0.021278951972103166,0.038354636455295577,0.020044617928964614
2019-10-22,0.35948263488036103,0.010788117906950223,0.002825191217595835,0.033128676942239865,-0.01462074175872008,0.03890270604706614,0.01268418892779688
2019-10-23,0.2430281944038455,0.013724930710069971,0.004540125857316779,0.03445348049965391,-0.008057487239443328,0.0424398658387628,0.014617945502370944
2019-10-24,0.3349034570567213,0.015380000860831577,0.0034756503866884003,0.03153825991112247,0.001135110784663107,0.048442609721708996,0.02283292690470029
2019-10-25,0.36263837050732795,0.01952955913151766,0.00916953379022667,0.038324002044282546,0.0006158765055137572,0.0502663474347671,0.029970260482824918
2019-10-28,0.3598301302408724,0.025259848351758762,0.014123460734712934,0.04709334068737281,0.0015443816852165337,0.054103815330970084,0.040273103072278715
2019-10-29,0.3510470076012513,0.02495548199173614,0.013402227564254243,0.05051153825478738,-0.0018767576486157234,0.05393358356401978,0.03411514211966149
2019-10-30,0.34304391047603566,0.028094657498441977,0.01770657664829156,0.04769678062481608,0.0014646204833763665,0.05153707061391888,0.037499346336912875
2019-10-31,0.3823565912596971,0.025352458154676683,0.01243500536031239,0.040746177929736005,-0.00985581785017442,0.047992885558902465,0.03604651211436316
2019-11-01,0.38547615370723465,0.03480816178888402,0.023645023356403172,0.058498648891077254,-0.0025066642616331514,0.05564230594726194,0.047729740676136334
2019-11-04,0.4159801564045855,0.03895712886784786,0.02793126953730285,0.06385973989513283,0.006644318093838031,0.06981873514860526,0.05356028029201765
2019-11-04,0.42485174354000277,0.043122730844426194,0.032235463254608465,0.0692479837885982,0.015879251364137037,0.0841855424200284,0.05942326643575124
2019-11-05,0.4186881987678306,0.041968151867440184,0.033382056311661135,0.07072623793596233,0.0184124322356245,0.08519361261791691,0.059609111777413126
2019-11-05,0.39571218916398276,0.04081485083462555,0.03452992298862445,0.07220653579569003,0.02095192980795879,0.08620262011434354,0.05979498972029518
2019-11-06,0.39805992030782456,0.04105237500196535,0.034527277171328086,0.06543539111650865,0.022139674940119924,0.08879264061976255,0.05676887972541689
2019-11-06,0.3858224730648121,0.04128995337465202,0.03452463136079831,0.05870700722896194,0.02332880185966779,0.09138883695839572,0.053751410403301
2019-11-07,0.35691212240243386,0.044945364530535326,0.04135956754540193,0.0616667390439416,0.024669871085677864,0.1004245330176543,0.056740255084144264
2019-11-07,0.3651016972996115,0.04861360787660307,0.04823966104306665,0.06463474511455258,0.026012697778756033,0.10953503633213701,0.05973757727916951
2019-11-08,0.29735699410384653,0.051196346749531996,0.04848354012356615,0.06788248307324518,0.019481015066922014,0.10443878577387689,0.06485020387708085
2019-11-08,0.29869665025037806,0.05378544691706533,0.04872747594395843,0.07114012846910978,0.012990913593936337,0.09936594301158719,0.06998749596887466
2019-11-11,0.2724019054456295,0.05177108938746855,0.04911573408691838,0.06839658654186076,0.00872871590856028,0.09685416646896372,0.06859416690694875
2019-11-11,0.25005601263852895,0.049760582391459085,0.04950413597016268,0.06566007172722443,0.004484451581584059,0.09434812870826281,0.06720265222685629
2019-11-12,0.29319708777916564,0.05197105184960549,0.04950413597016268,0.06589390738161782,0.009529464319011804,0.10138484486140786,0.069948933749298
2019-11-12,0.29434165580864846,0.054186175869284536,0.04950413597016268,0.0661277943461005,0.01459981558057577,0.10846680747033854,0.07270228240391452
